FounderExperience,TeamSize,FundingAmount,MarketSize,InnovationScore,MarketingBudget,CompetitionLevel,IndustryType,FounderEducation,ProductStage,RevenueGrowth,Prediction
5,10,5.0,5,6,3.0,5,1,1,2,20,0.35554741893626496
18,59,36.56,9,6,19.63,2,1,1,2,20,0.8496266269249587
1,24,19.8,9,4,15.6,10,1,1,2,87,0.5002240614163714
5,10,33.93,5,7,9.97,3,1,1,2,75,0.5947190676353881
17,42,33.93,9,7,15.28,6,1,1,2,75,0.7904723866660236
20,11,5.0,8,10,20.0,3,1,1,2,100,0.7700723002125297
20,60,50.0,10,10,20.0,1,1,1,2,100,0.934755351926212
13,52,46.04,9,9,14.32,1,1,1,2,62,0.866187289948827
20,60,48.87,4,10,20.0,1,1,1,2,100,0.9120740802037516
20,60,50.0,10,10,20.0,1,1,1,2,78,0.9293646844257986
20,60,49.68,10,10,19.95,1,1,1,2,77,0.9287434858813876
20,60,31.91,10,10,20.0,1,1,1,2,100,0.9187947779995986
13,48,33.33,8,9,20.0,1,1,1,2,32,0.8374789072953611
0,1,0.1,1,1,0.1,10,1,1,2,-10,0.12183659640968744
