FounderExperience,TeamSize,FundingAmount,MarketSize,InnovationScore,MarketingBudget,CompetitionLevel,IndustryType,FounderEducation,ProductStage,RevenueGrowth,StartupSuccess
6,28,25.91,2,10,13.27,2,AI,Bachelors,Prototype,14.78,1
19,20,19.01,9,2,9.35,2,HealthTech,MBA,MVP,8.29,1
14,47,0.43,1,9,12.65,2,SaaS,Bachelors,MVP,81.84,1
10,59,19.36,10,6,9.05,5,SaaS,Bachelors,MVP,29.45,1
7,7,39.61,9,7,3.85,1,FinTech,Masters,MVP,40.05,0
20,11,29.84,4,5,10.21,10,SaaS,Masters,Idea,-6.92,0
6,20,5.15,9,9,10.62,4,HealthTech,PhD,Prototype,32.45,1
18,16,42.37,7,1,16.23,10,EdTech,Masters,Growth,74.75,1
22,4,26.6,6,5,14.74,5,EdTech,Bachelors,Prototype,80.34,0
10,6,42.1,5,10,13.31,2,HealthTech,MBA,Prototype,66.86,1
10,58,29.05,9,6,2.36,5,SaaS,Masters,Prototype,66.14,0
23,22,28.03,2,7,14.44,10,SaaS,Masters,Growth,45.69,1
20,26,5.35,2,4,10.06,4,SaaS,Masters,Prototype,49.22,1
3,3,8.45,9,1,17.89,8,AgriTech,Masters,Growth,71.69,0
7,41,48.6,3,8,18.41,1,AI,Bachelors,Growth,17.2,1
23,42,11.5,8,10,1.2,5,Ecommerce,Bachelors,Idea,15.47,0
2,14,48.87,9,4,16.43,10,HealthTech,PhD,MVP,94.49,0
21,11,26.64,8,3,0.85,1,HealthTech,MBA,Growth,-6.95,1
20,18,6.88,4,7,7.41,10,AgriTech,PhD,MVP,5.34,0
1,54,5.06,1,2,10.89,10,HealthTech,PhD,Prototype,52.74,0
23,12,10.52,4,8,3.05,4,HealthTech,Masters,MVP,71.16,1
11,23,46.29,9,6,14.95,8,AgriTech,MBA,MVP,49.17,0
5,12,20.77,2,7,0.27,1,HealthTech,Masters,MVP,29.06,0
1,13,19.83,3,5,3.46,2,SaaS,Bachelors,Prototype,97.58,0
20,25,15.73,10,9,11.66,1,AgriTech,PhD,Prototype,67.42,1
0,45,7.44,8,5,14.32,7,AI,MBA,Growth,81.45,1
11,51,24.44,6,5,18.34,2,FinTech,Bachelors,Growth,-5.57,0
21,58,6.59,8,3,14.14,1,SaaS,PhD,Idea,15.95,0
11,19,41.79,7,1,13.47,6,SaaS,MBA,Prototype,31.16,0
24,55,18.58,5,2,7.95,6,Ecommerce,PhD,Idea,10.09,1
16,46,18.8,9,8,0.13,10,AgriTech,MBA,Prototype,-1.98,0
9,36,23.75,4,1,2.49,2,FinTech,PhD,MVP,14.76,1
15,45,22.26,6,7,10.74,1,HealthTech,Masters,Idea,48.7,1
14,8,49.74,2,5,13.54,10,FinTech,PhD,Idea,66.53,0
14,29,27.31,2,3,8.41,3,AI,PhD,Idea,75.14,0
18,55,4.5,2,7,14.64,10,EdTech,MBA,Prototype,-5.28,1
11,53,30.38,10,9,10.49,5,SaaS,MBA,Growth,37.08,1
22,55,7.66,7,2,1.58,6,AgriTech,Masters,Idea,3.44,1
19,32,1.64,2,8,3.92,3,AgriTech,MBA,Growth,37.43,1
24,51,48.54,2,9,16.82,9,FinTech,PhD,Prototype,37.74,1
2,44,38.7,9,3,14.53,5,Ecommerce,MBA,Idea,44.8,0
4,18,49.01,7,2,17.91,2,AI,MBA,Prototype,88.21,1
18,6,23.95,3,7,2.44,10,EdTech,MBA,Growth,78.56,1
6,18,26.66,3,5,19.81,6,AI,Masters,Growth,60.04,1
20,19,8.5,7,5,4.27,8,AgriTech,Masters,Idea,87.39,1
8,22,12.42,5,10,0.33,6,HealthTech,Bachelors,Growth,64.63,0
6,37,41.94,10,5,19.95,4,EdTech,Masters,MVP,80.07,0
17,32,17.87,6,4,5.69,6,AgriTech,Masters,MVP,52.02,0
3,56,41.36,8,5,13.39,8,Ecommerce,Masters,Idea,47.77,1
24,41,35.48,9,4,3.62,8,EdTech,PhD,Prototype,69.65,1
13,59,8.94,1,6,11.65,10,AgriTech,Bachelors,Prototype,-7.83,0
17,3,25.42,3,4,18.09,2,Ecommerce,PhD,Prototype,65.94,1
8,28,33.9,7,2,6.47,8,HealthTech,Masters,MVP,92.8,1
20,10,11.83,6,9,13.44,6,Ecommerce,Masters,Growth,68.53,1
1,51,41.55,7,2,3.84,2,AI,Bachelors,MVP,-5.95,1
19,35,27.29,8,9,12.53,1,FinTech,Bachelors,Growth,31.57,0
14,29,8.35,6,10,6.8,6,AI,MBA,MVP,79.05,0
6,54,29.19,3,6,4.3,7,AgriTech,Masters,Prototype,95.45,1
11,15,49.99,2,9,6.33,10,AgriTech,Masters,Prototype,30.72,1
7,33,7.61,7,9,3.66,5,SaaS,PhD,Prototype,82.53,0
14,7,40.86,1,3,18.05,10,AI,MBA,Idea,85.02,1
2,12,10.44,3,1,8.0,8,EdTech,Masters,Idea,3.56,0
13,49,39.14,4,1,4.98,9,HealthTech,PhD,Growth,83.04,1
16,30,36.76,1,3,9.02,4,SaaS,Bachelors,Idea,25.67,0
3,21,15.09,5,5,6.48,7,SaaS,PhD,MVP,55.26,0
17,31,16.36,10,3,14.91,8,SaaS,Masters,MVP,49.29,1
7,58,39.65,3,9,19.43,6,AgriTech,PhD,Growth,62.94,1
3,24,23.13,2,9,8.82,2,FinTech,PhD,Growth,71.45,1
1,20,36.57,3,3,17.23,7,Ecommerce,MBA,Prototype,38.5,0
5,37,7.48,8,3,11.36,9,EdTech,MBA,Idea,87.71,1
21,4,42.64,6,5,3.23,5,AgriTech,Bachelors,Prototype,79.04,1
9,28,35.57,7,2,13.84,2,HealthTech,MBA,Idea,76.4,1
3,44,45.36,6,6,10.32,4,AgriTech,PhD,Idea,40.41,0
21,20,6.71,6,7,13.05,3,FinTech,MBA,Growth,-5.87,0
17,24,29.69,3,9,17.8,4,AgriTech,Masters,Prototype,44.15,1
11,50,30.0,8,6,8.86,10,AgriTech,PhD,Prototype,88.83,1
1,49,17.74,7,3,18.03,7,AI,PhD,Idea,10.95,1
9,51,22.98,7,5,15.04,10,HealthTech,PhD,Idea,98.09,0
3,32,2.0,6,4,9.82,8,SaaS,Masters,Growth,78.85,1
13,41,37.32,5,5,12.1,1,HealthTech,PhD,MVP,68.08,1
15,36,27.51,10,8,6.58,8,HealthTech,MBA,Prototype,64.49,0
14,58,2.98,8,8,19.67,5,AI,Masters,Prototype,54.57,1
7,53,34.07,5,6,13.38,7,Ecommerce,PhD,Growth,69.27,0
13,34,23.39,9,1,0.97,1,AgriTech,MBA,Growth,36.41,1
22,36,1.82,9,8,6.6,2,EdTech,MBA,Prototype,82.98,1
24,2,48.48,1,8,12.5,1,SaaS,Bachelors,Prototype,66.6,1
7,15,47.46,6,2,1.22,5,Ecommerce,MBA,Idea,74.84,0
20,34,25.69,7,4,0.58,6,FinTech,MBA,MVP,77.17,1
15,36,4.77,3,2,9.06,10,AgriTech,Bachelors,Prototype,0.13,0
12,6,37.76,7,4,6.72,9,SaaS,Bachelors,Growth,-3.88,1
17,39,24.65,7,10,8.82,8,EdTech,Masters,Idea,78.11,1
14,42,15.19,2,7,5.33,7,AgriTech,MBA,Idea,18.53,0
20,51,24.62,7,9,3.38,5,FinTech,Masters,Growth,54.02,1
23,51,26.17,1,8,13.81,3,AI,Masters,Growth,38.81,1
24,58,28.18,5,9,10.34,9,Ecommerce,PhD,Idea,-7.58,1
12,54,22.12,9,8,4.08,5,AgriTech,Masters,Growth,-5.57,0
8,12,30.33,7,2,6.46,3,SaaS,Masters,Idea,80.98,0
14,3,45.94,7,7,11.88,3,HealthTech,Masters,Growth,56.84,1
12,45,18.18,2,2,1.54,3,EdTech,Masters,Idea,47.62,1
0,18,36.31,8,2,3.03,6,AgriTech,Bachelors,Prototype,93.88,0
24,40,44.73,3,4,1.56,1,SaaS,MBA,Prototype,9.04,0
6,21,22.85,8,1,16.27,4,HealthTech,PhD,Growth,18.38,1
8,15,22.23,3,5,15.07,8,SaaS,Bachelors,MVP,73.24,0
23,33,30.15,10,6,15.09,3,AgriTech,PhD,Prototype,75.28,1
0,35,29.61,7,9,14.35,5,FinTech,PhD,Idea,34.54,1
11,26,40.35,2,10,13.42,2,HealthTech,Bachelors,MVP,94.61,1
7,8,23.88,4,8,9.59,2,HealthTech,Masters,Idea,93.21,1
23,36,49.81,6,2,12.88,7,SaaS,Bachelors,Idea,-8.63,1
10,48,3.07,9,1,0.86,10,AI,PhD,Prototype,8.96,0
18,30,0.26,5,2,12.47,3,AgriTech,PhD,Growth,80.22,1
16,23,32.05,9,7,15.58,5,AI,Masters,Growth,26.87,1
7,42,14.99,5,4,10.06,3,Ecommerce,Bachelors,Idea,0.5,1
2,44,12.1,10,10,7.21,6,FinTech,MBA,Prototype,76.35,0
2,14,15.66,8,5,5.62,10,AI,PhD,Idea,40.0,0
0,14,12.88,1,7,12.89,3,SaaS,Bachelors,MVP,44.17,1
4,2,1.64,7,3,13.89,8,AgriTech,Masters,Idea,10.5,0
9,55,48.58,4,10,17.43,2,AI,Masters,Prototype,62.7,1
6,37,11.12,5,2,6.91,3,Ecommerce,MBA,Idea,50.64,0
8,5,36.73,6,7,15.42,8,EdTech,PhD,Prototype,12.73,1
6,38,38.15,5,5,11.27,8,Ecommerce,MBA,Growth,27.44,1
8,45,46.47,1,1,17.67,1,HealthTech,MBA,Prototype,55.66,0
7,41,1.62,9,1,10.6,8,AgriTech,MBA,MVP,91.74,0
11,54,43.62,2,9,10.4,10,HealthTech,MBA,Prototype,91.24,1
1,47,26.41,9,5,11.6,2,AI,Masters,MVP,21.67,1
0,14,31.66,10,1,15.01,7,AI,PhD,MVP,70.92,1
